10	( 1 2 3 4 )	( 9 11 13 10 )	10.75	46543.8431867	0.0000465	67456	16864
20	( 5 6 7 8 )	( 24 24 28 26 )	25.5	113813.1025062	0.0001138	32320	8080
40	( 9 10 11 12 )	( 56 50 50 52 )	52.0	245571.6492066	0.0002456	14872	3718
80	( 13 14 15 16 )	( 108 99 104 114 )	106.25	527972.7206663	0.0005280	6784	1696
100	( 17 18 19 20 )	( 136 129 137 132 )	133.5	681762.1514058	0.0006818	5264	1316
200	( 21 22 23 24 )	( 267 269 269 267 )	268.0	1441233.5318108	0.0014412	2452	613
400	( 25 26 27 28 )	( 540 518 538 526 )	530.5	3181407.8145455	0.0031814	1100	275
800	( 29 30 31 32 )	( 1063 1058 1076 1049 )	1061.5	6890499.5180000	0.0068905	500	125
1000	( 33 34 35 36 )	( 1300 1313 1328 1344 )	1321.25	8707807.0102041	0.0087078	392	98
2000	( 37 38 39 40 )	( 26
99 2654 2652 2677 )	2670.5	18704626.5000000	0.0187046	180	45
4000	( 41 42 43 44 )	( 5360 5315 5340 5368 )	5345.75	39431389.0833333	0.0394314	84	21
8000	( 45 46 47 48 )	( 10705 10670 10662 10757 )	10698.5	83734291.8500000	0.0837343	40	10
10000	( 49 50 51 52 )	( 13301 13340 13287 13311 )	13309.75	106724244.1785714	0.1067242	28	7
20000	( 53 54 55 56 )	( 26667 26826 26673 26670 )	26709.0	225028361.5000000	0.2250284	12	3
40000	( 57 58 59 60 )	( 53415 53446 53242 53319 )	53355.5	481082430.0000000	0.4810824	4	1
80000	( 61 62 63 64 )	( 106914 106633 106586 106554 )	106671.75	1234868863.5000000	1.2348689	4	1
100000	( 65 66 67 68 )	( 133395 133214 133524 133463 )	133399.0	1577701772.7500000	1.5777018	4	1
